FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
-0.062796965,794.3382,1.0194622,1.1885722,1.0118581,202.30484,8.572799,339.21838,0.49311006,1.2038716,1.012211,1.0023885,1.1868609,1.0001944,1.2197036,1.0003185,3.0669107,0.3038505,996.65594,1.0103854,1.0902929,0.99596936,1.861063,0.9986079,1.1270057,144.71237,292.61282,0.11571958,367.20465,0.99252754,1.1982639,0.9990352,0.9794035,1.0009022,7.6886024,219.07042,266.25027,13.874672,0.24182269,0.16916783,0.06006719,-0.005434711,0.97634006,0.99939007,39.662956,-0.027539425,29.974289,-0.0101491315,0.9867073,1.0218577,0.98580945,Attack
-0.030980006,812.76996,0.9935646,1.015765,0.9766257,192.58058,8.580257,339.452,-0.01535659,1.0452223,1.035946,0.99829084,1.0022885,0.9984475,0.9627448,0.9987173,1.3294325,0.028532052,1012.9181,1.0063955,0.96991104,0.99203366,1.9813213,1.0007375,1.0297246,148.50389,294.86258,0.0017527565,254.33575,0.98838866,1.0293616,1.0007678,0.9917224,1.00858,7.6075163,217.35541,267.13187,14.895732,0.0035475127,0.014052107,0.0025486215,-0.006385241,0.9941195,0.9967631,12.411475,-0.025345497,6.6775274,-0.0097563015,0.99529636,0.9927993,1.0000758,Attack
-0.019271746,808.3483,0.9799154,0.9972849,0.9911252,193.90991,8.5671425,353.3655,-0.01329415,1.004752,0.9938865,0.9977551,0.9933259,0.9997128,1.0061541,0.99939156,1.4868383,0.03985419,1012.75696,1.0095228,1.0129071,1.0053394,1.978852,0.99900347,1.018578,147.84454,325.47803,-0.007863976,250.21991,0.98721874,1.0008097,0.99968404,0.9927879,0.9966693,7.526549,216.68,268.4581,14.659247,-0.008142031,-0.0028785923,-0.0015348927,-0.0006816726,0.9956673,1.0038971,9.808707,-0.030126683,2.275901,0.006524816,0.99753064,0.9999166,0.99822235,Attack
1.1330763,658.43634,1.5006021,2.0378985,1.027605,229.82234,8.445007,329.1123,2.5348387,2.1082468,0.93700093,1.0022761,2.0494778,1.00044,2.034594,1.0004284,19.735924,2.2416124,673.9967,1.0232583,2.0109835,1.0120413,0.9498419,1.0018715,2.0087278,148.01682,152.0281,1.6810058,863.85016,0.999207,2.0236456,0.99892354,0.97964716,1.9890937,7.826866,136.4629,269.18765,11.806222,1.7286841,1.2721803,0.7364566,0.29852933,1.9878945,1.0093924,249.34293,1.2382509,190.08565,-0.013077796,0.9900443,0.99746364,0.9903611,Attack
0.03341995,815.1675,1.0180402,1.0093904,1.0000983,191.15056,8.524191,362.70633,0.0765794,1.0027763,1.0519677,0.9971655,1.0038853,0.9998546,1.0070443,1.0006945,1.6117868,-0.018390989,1008.5322,0.9836362,1.0134263,0.9981275,1.9447902,0.9980327,0.9976817,149.02348,333.05838,0.025702737,256.03244,0.984885,1.038331,1.000584,0.9832102,1.0345712,7.498451,210.16084,268.91928,14.544947,0.058648787,0.054822937,0.031352744,0.00637285,1.0273675,1.0046439,17.611105,0.017946668,10.024543,0.030864676,0.99442315,0.9833357,0.9978929,Attack
0.31066343,797.5938,0.94145304,1.0027362,1.0273244,191.3123,8.592227,352.0902,0.021862933,1.0730228,1.0422332,0.9905457,1.0204751,1.0020527,1.0997257,1.0012004,2.073351,-0.10530052,1027.0106,1.0062262,0.984844,1.0093322,1.9146373,1.0013,0.9644234,144.82513,302.47702,0.104447745,286.54175,0.9965048,1.069392,0.99876857,0.9847471,1.0643477,7.550634,204.626,269.41165,13.06421,0.11098834,0.076728955,0.06312798,0.028988522,1.0744734,1.0096277,30.53034,0.024846263,17.308647,-0.0046173288,0.98128504,1.009148,1.002264,Attack
2.37942,518.2583,1.9265475,1.9956946,1.3480465,200.38574,8.501506,323.82416,2.5864782,2.019315,1.0903616,0.99601436,1.9788629,0.9990299,1.9880075,0.9990952,26.516449,1.8795007,835.98755,1.0341017,1.9959887,1.0210019,0.9969776,0.998807,1.8196417,147.40009,156.81021,1.5860269,849.7383,0.9990068,1.9592956,0.99818945,0.9915663,1.9498917,7.775899,144.15405,269.98315,14.056324,1.6540694,1.222574,0.7011023,0.28851944,1.9398099,0.9995252,238.63715,1.0769905,178.57109,0.0142850075,0.99178195,1.0019143,0.99998564,Attack
0.48263928,774.24884,1.3368158,0.94921595,1.0267575,191.96063,8.586218,320.35834,-0.14153807,1.097942,1.0842278,0.99863243,0.93174684,0.99767345,0.97446847,0.99657315,6.848156,-0.12059531,991.1098,1.0294039,1.0114812,1.015185,1.5839986,0.9989463,0.93660563,143.62236,170.8799,1.5697893,622.99335,0.9926847,1.8861406,0.9981536,0.97933525,1.9476507,7.724488,153.3191,268.66858,13.6969,1.5520669,1.1363994,0.67854947,0.28804874,1.9573525,1.0054554,230.86133,0.83795834,170.63103,-0.019216385,0.9887436,1.0317222,0.9991422,Attack
1.8871765,609.0559,1.7007878,1.8702332,1.0134035,187.17688,8.593683,310.5987,2.10822,1.9724685,1.0259653,1.0051365,1.8640667,0.9996084,1.834348,0.9995835,18.198454,2.121584,873.1962,1.0002626,1.8920827,1.0019757,0.99070275,0.99820745,1.9411721,147.94545,149.52953,1.6465743,885.2328,0.9958392,2.010541,0.9988798,0.97820896,2.005332,7.7842884,142.06302,266.5138,15.343435,1.708656,1.2921499,0.7183494,0.2878763,2.0065546,0.99516135,244.80759,0.8963524,185.52032,-0.0018048947,0.99279106,1.0016408,0.9996027,Attack
1.5300288,722.7078,1.4724853,0.94192207,0.9703167,214.12776,8.598454,307.94284,-0.242685,1.093386,0.96898454,1.0040754,0.95162135,0.993233,0.94159395,0.9927298,26.6043,2.0631082,805.21124,1.028924,2.046328,1.0308177,0.94940925,1.0047594,1.9122269,149.10466,149.53888,1.6049545,779.91846,0.985102,1.9939233,0.9976756,1.0202185,1.9474516,7.8155913,139.14565,270.8136,10.622686,1.6325382,1.2274727,0.6923698,0.27676085,1.9727256,1.0002447,236.11423,1.091513,178.61865,-0.013142298,1.0000542,1.0018265,1.0014756,Attack
-0.058643952,798.4456,1.0014882,1.0211369,0.98633933,193.77097,8.5495615,366.50705,0.023532936,0.9852595,1.010637,1.0007154,1.0068417,1.0001721,1.0104178,1.0000595,1.2985535,-0.009505249,1008.82196,1.018135,0.9618864,1.0030298,2.0203402,0.99918544,1.0027761,149.89435,332.21967,-0.03888426,243.10535,0.98395425,0.989999,0.99829024,0.9957655,0.99721634,7.4577107,200.41402,268.70038,14.766032,-0.044443525,-0.017995402,-0.01232393,-0.00517859,0.9895047,0.99880487,3.877616,-0.015487782,1.4370338,-0.012906249,0.9960301,1.0064626,0.9905199,Attack
-0.19471957,816.5698,1.040711,1.0252609,1.0215833,191.36809,8.59339,365.46292,0.08869261,1.0695055,1.0947429,0.9927028,1.0429969,0.99796,1.0452938,0.99803305,2.4714184,0.15319803,1018.8134,1.0201977,1.0335506,1.024361,1.9985137,0.998472,1.0329375,151.00616,322.90656,-0.014431216,251.13562,0.99056065,1.0215083,1.0000219,0.9830705,1.0222719,7.5045795,203.63675,268.5957,13.970927,0.0009787909,0.023474112,0.018386798,0.005121242,1.028108,1.0049464,12.804786,0.017991014,13.009559,-0.046312556,0.9988409,1.0101128,0.9919768,Attack
-0.092100516,817.9636,0.9853519,1.0100077,0.9964761,194.65059,8.564507,357.15207,0.043482255,1.0090458,1.0050308,0.9982083,1.0144999,0.9998336,1.0149292,0.9998252,1.8870964,0.08469286,1019.51733,1.0113466,1.0201571,1.0052904,1.9806265,1.0020125,1.0429398,148.48991,331.7756,-0.0045043007,252.27148,0.9871229,1.009864,0.9997175,0.99096274,1.008603,7.5064774,215.624,268.45316,14.911733,0.010204875,0.007671728,0.007606493,0.0030999887,0.9955273,1.0040919,11.461341,-0.006301276,4.2658606,0.002953319,0.9931735,1.0040021,0.9956275,Attack
-0.10621478,822.6766,0.9623874,1.0031387,0.99859995,194.04184,8.551852,357.71924,0.005656312,1.016847,1.0007732,0.99627817,0.99235696,1.0000671,1.0023935,0.9999127,1.7364483,0.07558539,1017.29785,1.0138999,1.0148329,1.0082079,1.9806889,1.0011054,1.0446644,146.97044,336.36176,0.00046577305,246.97702,0.9822431,1.017321,0.99995285,0.9893431,1.0151974,7.492404,215.83878,268.66324,14.934518,0.027469717,0.018459275,0.010304973,0.0054675,1.0059812,1.0022464,13.135856,0.00096196745,4.532798,0.00111203,0.9946281,1.0028284,0.99375385,Attack
-0.100572124,812.2353,1.0098922,1.0009521,0.9938853,191.42479,8.601627,347.12,0.011880825,0.98839986,1.0212145,0.99722946,1.0041564,1.001482,0.9979508,1.0011302,1.7027864,0.0435554,1020.73413,1.0042509,1.0233585,0.9892169,2.0060904,1.0007929,1.0272945,148.96306,313.49838,-0.0337039,234.99863,0.99007076,0.9786477,0.9985975,0.9967713,0.9884237,7.567828,224.90524,267.83066,15.05914,-0.044734754,-0.038596854,-0.0111867925,-0.0028588218,0.98259145,1.00111,5.1307592,-0.016610377,1.2336189,-0.00950195,0.99208176,1.0095048,0.98815846,Attack
0.04461144,792.40027,1.0480692,0.8693999,0.98046464,190.289,8.548102,362.30966,-0.32939905,0.9585171,1.0098863,1.0054599,0.83718103,0.99953777,1.0059688,0.9980346,-2.3696404,-0.01543448,959.41974,0.9958986,0.9755277,0.9780654,1.9512734,0.9956369,0.97017556,144.49731,341.00284,-0.019364454,237.5665,0.9824684,0.97840065,0.9993211,0.9946536,0.94529474,7.4687624,208.25638,270.35364,20.926111,-0.08174733,-0.041926786,-0.029905332,-0.0099818,0.940718,1.005468,0.7260351,-0.08672761,-7.9327326,0.024252776,0.9984315,0.9818378,1.0045012,Attack
0.7047953,630.1162,1.3078493,1.9873841,1.0242939,246.60614,8.42228,329.91348,2.4136505,2.0230954,1.0157831,0.99142575,1.9985158,1.0007706,2.0459538,0.99980265,14.4016905,1.6130397,923.9202,0.9694761,1.5523914,0.981315,1.1073183,1.0068817,1.6991649,147.65376,222.41925,0.75296533,842.58307,0.9855781,1.9452987,0.9997824,0.9817226,1.1824329,8.042536,180.98297,266.4383,13.320323,1.2663862,0.8924454,0.37531736,0.04210342,1.1769028,1.0173882,172.31029,0.16892053,137.56296,-0.012892661,0.9931894,1.0197659,1.0016009,Attack
-0.14751865,817.8895,0.96944803,1.0008708,0.99076694,194.53397,8.569406,354.60953,0.02372391,1.0028545,1.0128351,0.99839306,1.0105922,1.0005603,0.99740094,1.0003337,1.9595957,0.0751709,1016.9284,1.0085965,1.0257614,1.0042822,1.9840965,1.0007045,1.0334918,148.87384,332.61932,-0.0004920736,247.68784,0.98876,1.0068322,0.9996253,0.9907809,1.0111921,7.5132155,220.08394,268.35202,15.520803,0.016044103,0.003273203,0.008343444,0.0066031474,1.0001146,1.001187,11.840583,0.013580033,5.0942144,0.0051283576,0.99307376,1.0024327,0.9963834,Attack
2.710844,489.66013,2.0402684,1.9850819,1.3073324,249.70699,8.35793,333.36148,2.526993,1.9858063,0.9625861,0.99823,1.9810828,1.0018978,1.9748535,1.0024062,19.438253,2.1112256,905.05273,1.0036179,1.9340721,0.9868259,0.972471,0.99491155,1.9279494,147.58057,152.14195,1.6280719,880.6247,0.9838966,2.0073035,0.99728245,0.98024946,1.9799643,7.826135,142.5154,265.59155,9.226372,1.6955099,1.2627554,0.7172666,0.3011444,1.9665061,1.01716,243.81337,1.4139576,182.06863,0.013501196,0.993839,0.99735785,0.98755264,Attack
-0.09399296,814.87134,0.96631575,1.0333221,0.9837476,194.54924,8.547522,362.0843,0.067014046,1.0411814,1.0118898,0.9958365,1.0158486,0.9987115,1.0389603,0.9982827,1.34128,-0.0055962563,1011.9158,1.014831,0.9741351,0.9967154,2.006797,0.9992686,0.99905646,147.37589,331.84616,-0.03702054,238.76172,0.98083186,0.98807174,1.0000135,0.9914572,0.9941487,7.487379,210.29425,269.18945,14.802519,-0.027784504,-0.007532821,-0.0073831216,-0.0035834801,0.98996574,1.0001128,7.594001,-0.008781365,2.1752083,0.0018640422,0.9931042,1.0011538,0.9936044,Attack
-0.18228473,787.11884,0.71554273,1.267349,1.0049179,192.02588,8.629503,316.0651,0.71568525,1.281283,0.97474384,1.0072026,1.2885122,0.99863493,1.1906532,0.99972355,4.7885423,0.7533391,967.8594,0.9964509,1.2991517,1.0032719,1.7799203,0.9960886,1.3173605,151.5519,220.8583,0.579263,436.4963,1.0025398,1.4106328,1.000219,0.97658944,1.2991246,7.7301865,191.1809,263.5618,15.154696,0.6085073,0.4920877,0.21555854,0.06642846,1.2979127,1.0007516,89.96017,0.16766979,64.87785,0.0029894572,0.9921804,0.9870058,0.99600554,Attack
-0.070720926,816.6167,0.9496011,1.0072036,0.99938256,190.68446,8.617791,334.828,0.0055983765,0.9988689,1.0130662,0.9988618,0.99300045,1.0013136,0.9981709,1.0013438,1.1843681,0.019876147,1020.9193,1.014408,0.99970657,0.98658615,1.9733528,0.99976134,1.0286977,147.15002,295.32065,-0.024837472,249.98148,0.99325484,0.99567765,0.99884766,0.9966868,0.9799709,7.630817,229.81296,266.7902,14.251365,-0.036481775,-0.019727632,-0.013877048,-0.00923248,0.9815345,1.0028834,4.6760015,-0.05810427,-0.38584217,-0.0018568885,0.9942405,1.0044755,0.99145424,Attack
0.012516484,827.30536,1.047171,0.9613581,0.9858609,191.48808,8.583547,349.55188,-0.12216096,1.0354679,1.079862,0.98951757,0.9605089,1.0000957,0.9813398,1.0005982,3.1278467,0.14988747,1015.7726,0.9557394,1.0914277,0.9789938,1.9478685,0.9967759,1.0812098,150.03781,331.27243,-0.05796919,232.01453,0.97619563,0.9630089,0.99951255,0.9919834,0.9614173,7.5347476,223.41093,268.24786,21.387054,-0.06509165,-0.0753697,-0.030538274,-0.010495145,0.96903515,1.0127469,-1.6795282,-0.02040612,-3.5966117,0.022998866,0.994548,0.9952829,1.0042675,Attack
-0.2792826,761.2939,0.6713013,1.7584167,1.0054221,252.9028,8.401061,330.40256,2.024059,1.7628065,0.885159,0.99999917,1.7682256,1.0001621,1.7881953,1.0005728,3.4155865,0.83004,889.8793,0.9141441,1.2426108,1.0242157,1.2706172,0.99284744,1.343145,147.99533,201.24776,1.145013,817.0322,0.98917174,1.773232,0.9998612,0.9774664,1.4869125,7.885134,163.49718,263.26837,15.89668,1.1796622,0.8512442,0.4068382,0.12297176,1.4801066,1.0073411,163.69469,0.742386,124.14014,0.033158265,0.986981,0.9648649,1.0080165,Attack
2.1776063,629.82587,1.8137771,1.263878,0.99156433,273.15173,8.350942,330.35645,0.7527611,1.339426,1.1039033,1.0089587,1.2726628,0.99835074,1.3024036,0.9996794,31.870193,0.5177401,956.0833,1.0115852,1.4406909,1.0359241,1.0889368,1.0080818,1.2041668,149.51025,157.83252,1.5801804,805.4465,0.9847593,1.9878471,0.99892586,0.994992,1.9373543,7.8709936,145.64859,271.4606,8.4146185,1.6444507,1.2214587,0.67960995,0.28439778,1.9156834,1.0146718,232.23106,1.4737314,178.79437,-0.029314458,1.0024427,0.99937576,0.99288017,Attack
0.39264324,708.5769,1.1609555,1.9576343,1.0544502,210.29236,8.539977,318.65353,2.3393762,2.004499,0.95301163,0.9892463,1.9410037,1.0000746,1.9608612,0.99988604,17.48176,2.0127776,891.693,0.99322575,1.8288132,0.9863622,0.9995163,0.9971226,1.8831757,146.69275,159.31564,1.5241405,876.98926,0.9921479,2.0453646,0.9988682,1.0036874,1.83889,7.851745,145.16019,265.24707,14.301761,1.6427066,1.2308298,0.6427309,0.23238325,1.8360797,1.0073439,232.19168,0.7328204,177.15755,0.009312226,0.9977205,1.0105362,0.9982714,Attack
1.7695614,629.2027,1.5869516,1.414945,1.0206565,172.95415,8.63254,302.7275,1.0474249,1.505493,1.2183325,0.99144906,1.3982075,1.0035336,1.4198148,1.0022377,12.99664,1.5656749,1013.3325,0.982415,1.6419076,0.9586952,1.396753,1.000209,1.7277685,147.91269,169.00558,1.3426772,734.19147,0.9672714,1.8771509,0.99895656,0.99934256,1.8825182,7.7674856,167.82439,257.52322,13.188911,1.4908065,1.1302432,0.6005469,0.24805918,1.8795415,1.0182751,213.76178,0.6926968,158.79974,0.01265174,0.9973698,0.9759053,0.98754764,Attack
0.7351094,672.5343,1.1732855,1.563743,1.0199512,170.83778,8.626404,294.60834,1.3669878,1.7340379,1.1483896,0.9944989,1.5271257,1.0048813,1.5508349,1.0052065,14.996825,1.9160321,811.8146,0.9839343,1.8502814,0.98624694,1.0862515,0.9934522,1.8605801,146.02013,158.46283,1.1565602,780.1327,1.0097249,1.8699472,0.99806595,0.9932239,1.6807511,7.7906756,149.08513,261.41898,19.452562,1.3053092,1.0113409,0.48733968,0.15509175,1.6861758,1.0227804,188.70923,0.31332982,139.26994,0.046748463,0.98786896,0.99113655,0.9929626,Attack
-0.0857705,815.37384,0.9747641,0.99833727,0.99829674,194.11516,8.551654,361.0308,0.0054690344,1.0051116,0.988042,0.99686235,0.99350595,1.0000545,1.016023,0.999717,1.1620159,0.028064275,1013.47424,1.010553,0.9930642,1.0043035,1.9955968,0.99942154,1.0153123,147.01451,335.82355,-0.013246633,244.01843,0.9818012,0.9891209,0.9996119,0.993157,1.0022075,7.479851,211.7262,268.81296,15.755727,-0.013132132,-0.011127518,-0.0018451945,0.0020963508,0.99606586,1.0011864,7.5219183,-0.00041919135,1.6052161,0.00545917,0.993726,1.0016013,0.9935652,Attack
-0.079953924,816.4467,0.94275653,0.99912536,1.0016574,193.13083,8.558678,353.66168,-0.009464313,1.0098422,0.98428243,0.99835306,0.9901273,1.0004355,0.99772125,1.0004482,1.9610672,0.03819468,1016.2646,1.005431,1.0175546,1.0024607,1.9916751,0.9988566,1.0250515,146.36081,328.83868,0.018561505,242.84937,0.9811737,1.0050268,0.9997704,0.9924529,1.0141844,7.5135565,217.95668,268.35327,15.43935,0.010519707,0.005584671,0.0065046414,0.0058738994,1.0093317,1.0009416,10.777961,-0.015924923,3.4084694,0.005751387,0.9964291,1.0004387,0.9924611,Attack
2.0972657,618.2387,1.8213528,1.0713942,1.0164152,182.18109,8.644853,300.32483,0.23534758,1.2113552,0.97010076,1.0050211,1.0566205,1.00218,1.0749501,1.0013769,14.627993,1.7360327,1037.6659,1.0134892,1.7945738,0.98953533,1.1631781,1.0012662,1.804385,148.50377,156.06302,1.638013,815.5972,0.9951591,1.9652536,0.9989021,0.9753908,2.0042067,7.7817287,149.4299,261.10236,13.25769,1.660162,1.247189,0.70294535,0.29326913,1.9915936,1.007465,242.81357,0.8446894,180.43405,0.020168344,0.9910718,0.9977216,0.99434364,Attack
-0.12078132,813.8121,0.982355,1.0069127,0.99104387,191.05005,8.594251,341.4962,0.027464459,0.9897374,1.0021533,0.999751,1.0059751,1.0008965,1.0200195,1.000455,1.3329678,0.017582322,1017.48267,1.0000595,0.9976922,1.0031087,2.0011349,1.0004474,1.0068552,147.85695,316.95422,-0.015101291,236.20694,0.98452264,0.99080163,0.9997752,0.9946621,0.9989305,7.579893,234.02213,267.48416,14.882353,-0.008069075,-0.013886915,-0.00013352797,0.0040448564,0.99740016,1.002252,8.27082,0.0070739468,2.141166,0.005681132,0.9920145,1.0004574,0.9940671,Attack
2.8778005,521.2943,2.1643698,1.308307,1.0017484,198.35272,8.615668,297.93494,0.8675804,1.4128726,1.0971999,0.99645805,1.3328645,1.0022913,1.3196975,1.0015994,19.854889,2.238617,1036.5068,1.0310973,2.0365336,1.0073173,0.96440685,0.99348813,2.0187635,151.71553,150.79688,1.6114473,891.19336,0.9838911,1.9947546,0.99823266,0.96554226,1.9765,7.813858,145.322,258.1823,20.481615,1.7015512,1.2640088,0.7192751,0.300229,1.9639267,1.0091549,246.2662,1.0567387,188.6508,0.022003338,0.98895574,0.98065907,0.9830158,Attack
1.8334397,615.02356,1.6227708,1.4979638,0.9917657,178.08423,8.632955,298.3725,1.2198188,1.6163197,1.1428275,0.99840343,1.4993825,1.0004694,1.4813555,1.0003948,16.79808,2.105276,966.36,0.9887771,1.8551606,0.9841447,1.1521811,0.9967108,1.9633448,147.719,145.16591,1.5976506,845.54834,0.98622036,2.0086064,0.9994233,0.98228794,2.017349,7.7840257,145.15034,257.28357,15.775958,1.7053158,1.2952483,0.71534526,0.2865808,2.0121925,1.0025991,244.88383,0.8618315,185.18143,-0.0030649665,0.99718225,0.994468,0.9870153,Attack
-0.06514396,811.1517,0.98113453,0.9773533,0.99051803,194.7277,8.590487,344.11847,-0.066641025,0.9748386,0.9621023,0.99940157,0.99415433,1.002472,0.9439177,1.0021415,2.5692186,0.017367506,1022.06476,1.0046195,1.0521654,0.9971855,2.003184,0.99745506,1.0121316,148.29115,310.24832,0.05035665,236.31393,0.9924631,1.0075252,0.9990089,0.9980111,1.018333,7.574089,223.85805,267.9246,15.590062,0.025251709,-0.011486516,0.023861812,0.017349001,1.0201584,0.99811083,14.427573,0.041656382,6.0606604,-0.008709048,0.99831903,1.0057975,0.99624467,Attack
